activity_name,category
Bottom ash MSWI[F] waste paperboard (market for bottom ash MSWI[F] waste paperboard),Waste Management
Grass / straw,Fuel
Sulfuryl chloride (market for sulfuryl chloride),Chemical Products
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 280 kg per m3 of concrete,Building Materials
Iron steel - tube pipe fittings beams billets rails tubes,Metals
Timber - Chipboard - No Carbon Storage,Timber and Forestry Products
Pear (market for pear),Arable Farming
Blower and heat exchange unit - kwl 250 (market for blower and heat exchange unit - KWL 250),Machinery
Impact extrusion of steel - hot - deformation stroke (market for impact extrusion of steel - hot - deformation stroke),Metals
Residues MSWI[F]-WWT WW from glass production (market for residues MSWI[F]-WWT WW from glass production),Waste Management
Shale gas,Fuel
Bleaching - textile (market for bleaching - textile),Textiles
Acrylonitrile-butadiene-styrene copolymer (market for acrylonitrile-butadiene-styrene copolymer),Chemical Products
Therapeutic appliances and equipment (including repairs),Health Care
Packing - clay product (market for packing - clay product),Building Materials
Notebook - Lenovo ThinkPad 11e Yoga Gen 6 11 inches,Electronics
Inductor - auxilliaries and energy use (market for inductor - auxilliaries and energy use),Electronics
1:1.5:3 cement:sand:aggregate with UK average cement replacement rate,Building Materials
Motor vehicle brakes and brake systems,Vehicle Parts
Rope/cordage/twine/tire cord and tire fabric mills,Furnishings and Household
Salicylic acid (market for salicylic acid),Chemical Products
Sewage sludge 75% water WWT WW from PV cell production (market for sewage sludge 75% water WWT WW from PV cell production),Waste Management
Scrap metal (Primary material production),Metals
Power block - solar tower power plant - 20 mw (market for power block - solar tower power plant - 20 MW),Construction
Explosives factory (market for explosives factory),Construction
Packaging products of plastics,Plastics and Rubber Products
All other information services,Information and Communication Services
Motor gasoline,Fuel
Computers / parts and office machinery,Office Equipment
Basic oxygen furnace dust - for recovery (market for basic oxygen furnace dust - for recovery),Waste Management
Polystyrene - expandable (market for polystyrene - expandable),Chemical Products
Sawnwood - board - hardwood - raw - dried (u=20%) (market for sawnwood - board - hardwood - raw - dried (u=20%)),Timber and Forestry Products
Distiller's dried grains with solubles (market for Distiller's Dried Grains with Solubles),Arable Farming
Cauliflower LDPE bag,Food/Beverages/Tobacco
Bottom ash MSWI[F] waste plastic consumer electronics (market for bottom ash MSWI[F] waste plastic consumer electronics),Waste Management
Chromium steel removed by turning - average - conventional (market for chromium steel removed by turning - average - conventional),Metals
Other building material dealers,DIY and Gardening Equipment
Electroplating/plating/polishing/anodizing and coloring,Fabricated Metal Products
Child day-care services,Health and Social Care
Farm machinery and equipment manufacturing,Machinery
Civic/social/professional and similar organizations,Operational Activities
Sewage sludge 97% water WWT WW from particle board production (market for sewage sludge 97% water WWT WW from particle board production),Waste Management
Commercial and institutional building construction,Construction
Oat seed - for sowing (market for oat seed - for sowing),Arable Farming
Other white cements,Building Materials
Potassium chloride (market for potassium chloride),Chemical Products
Steel - UO Pipe,Metals
Window treatment stores,General Retail
Flight training,Education
Other computer related services/including facilities management,Professional Services and Activities
Sewerage services/sewage sludge,Waste Management
Concrete RC40/50 with CEM I cement,Building Materials
Diesel,Fuel
Yoghurt PP tub with LDPE lid,Food/Beverages/Tobacco
Bottom ash MSWI-WWT-SLF waste packaging paper (market for bottom ash MSWI-WWT-SLF waste packaging paper),Waste Management
Frozen broccoli,Arable Farming
Transistor - wired - small size - through-hole mounting (market for transistor - wired - small size - through-hole mounting),Electronics
Admissions to live sporting events,Recreation and Culture
Fabric,Furnishings and Household
Uranium - enriched 3.9% - in fuel element for light water reactor (market for uranium - enriched 3.9% - in fuel element for light water reactor),Chemical Products
Other published products,Paper Products
Thulium oxide (market for thulium oxide),Metals
Translation and interpretation services,Professional Services and Activities
Copper cake (market for copper cake),Metals
Spent automobile catalyst (market for spent automobile catalyst),Waste Management
Other sales/trade-ins and refunds nec,General Retail
Wood preservation - spray tunnel/deluging - water-based - indoor use - occasionally wet (market for wood preservation - spray tunnel/deluging - water-based - indoor use - occasionally wet),Timber and Forestry Products
Disposable chopsticks,Furnishings and Household
Iron ore mining,Mined Materials
Machine tool manufacturing,Machinery
Hospital services,Health and Social Care
Boilers / tanks and heavy gauge metal containers,Fabricated Metal Products
Other installation work,Maintenance and Repair
Other accounting services,Professional Services and Activities
Residues MSWI[F] waste wood pole chrome preserved (market for residues MSWI[F] waste wood pole chrome preserved),Waste Management
All other miscellaneous schools and instruction,Education
Life insurance services,Insurance Services
Sugar refinery (market for sugar refinery),Construction
Concrete RC20/25 with 35% natural pozzolanic ash cement,Building Materials
Internet publishing and broadcasting,Information and Communication Services
Wind power plant - 2mw - offshore - moving parts (market for wind power plant - 2MW - offshore - moving parts),Construction
Motor vehicle bodies and special purpose motor vehicles,Vehicles
Photovoltaics - electric installation for 570kwp module - open ground (market for photovoltaics - electric installation for 570kWp module - open ground),Construction
Textile - woven cotton (market for textile - woven cotton),Textiles
Special tools/dies/jigs and fixtures,Machinery
Melon (market for melon),Arable Farming
Air compressor - screw-type compressor - 4kw (market for air compressor - screw-type compressor - 4kW),Electrical Equipment
Cardboard containers,Paper Products
Nuclear spent fuel conditioning facility (market for nuclear spent fuel conditioning facility),Construction
Sunflower seed - for sowing (market for sunflower seed - for sowing),Arable Farming
Frozen peas shelled,Arable Farming
Apple (market for apple),Arable Farming
Concrete admixtures – Plasticisers and Superplasticisers,Building Materials
Security brokerage and securities dealing services,Financial Services
Farm machinery and equipment,Machinery
Pumps and compressors (except fluid power),Machinery
Jams/marmalades and other spreads,Food/Beverages/Tobacco
"2,5-dimethylhexane-2,5-dihydroperoxide (market for 2,5-dimethylhexane-2,5-dihydroperoxide)",Chemical Products
Electric bicycle (market for electric bicycle),Vehicles
Timber - Wood I-Beam - No Carbon Storage,Timber and Forestry Products
Magnesium (market for magnesium),Metals
Concrete RC32/40 with 15% PFA cement,Building Materials
Methyl t-butyl ether (market for methyl t-butyl ether),Chemical Products
Mortar or screed (1:6 cement:sand mix - Using CEM I cement),Building Materials
Wheat grain (market group for wheat grain),Arable Farming
Concrete block - solid - high density - average strength - 215 mm thickness - 440 mm length - 215 mm width,Building Materials
Ash - from combustion of straw (market for ash - from combustion of straw),Arable Farming
Car washes,Vehicle Maintenance and Services
Bottom ash MSWI waste plastic consumer electronics (market for bottom ash MSWI waste plastic consumer electronics),Waste Management
Soybean,Arable Farming
Stainless steel - semi-finished hot-rolled flat,Metals
Anode - prebake - for aluminium electrolysis (market for anode - prebake - for aluminium electrolysis),Metals
Mandarin (market for mandarin),Arable Farming
Concrete RC28/35 with average UK additions cement,Building Materials
Melamine board furniture,Furnishings and Household
Bottom ash MSWI[F] coating from waste CRT display (market for bottom ash MSWI[F] coating from waste CRT display),Waste Management
Cleft timber - measured as dry mass (market for cleft timber - measured as dry mass),Timber and Forestry Products
Fishing services,Fishing/Aquaculture/Hunting
Pumice sand,Mined Materials
Home healthcare,Health Care
Sporting and athletic goods,Recreation and Culture
Mortar or screed (1:3 cement:sand mix - Using average UK Cement Mix),Building Materials
Golf courses and country clubs,Recreation and Culture
Oxygen steel furnace gas,Fuel
Linear fluorescent lamp integrated into ceiling 3x T8-18W (LFL),Electrical Equipment
Beverage carton 1 L for juice (ambient) (market for beverage carton 1 L for juice (ambient)),Paper and Cardboard
